character,keyword,reading,decomposition,spatial,ids,components_detail,tags
闼,door of an inner room,ta4,gate + reach,⿵ (surround-open-bottom),⿵门达,"<span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">达</span> <span style=""color:#666"">reach</span>",SC::L1
闾,gate of a village,lu:2,gate + spine,⿵ (surround-open-bottom),⿵门吕,"<span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">吕</span> <span style=""color:#666"">spine</span>",SC::L1
闿,to loosen,kai3,gate + (rhetorical question),⿵ (surround-open-bottom),⿵门岂,"<span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">岂</span> <span style=""color:#666"">(rhetorical question)</span>",SC::L1
阂,blocked or separated,he2,gate + sign of the hog,⿵ (surround-open-bottom),⿵门亥,"<span style=""color:#1a5276"">门</span> <span style=""color:#666"">gate</span><br><span style=""color:#1a5276"">亥</span> <span style=""color:#666"">sign of the hog</span>",SC::L1
羑,to lead,you3,long time,⿱ (top-bottom),⿱𦍌久,"<span style=""color:#1a5276"">久</span> <span style=""color:#666"">long time</span>",SC::L1
迸,to burst forth,beng4,road + combine,⿺ (bottom-left-wrap),⿺辶并,"<span style=""color:#1a5276"">辶</span> <span style=""color:#666"">road</span><br><span style=""color:#1a5276"">并</span> <span style=""color:#666"">combine</span>",SC::L1
籼,long-grained rice,xian1,rice + mountain,⿰ (left-right),⿰米山,"<span style=""color:#1a5276"">米</span> <span style=""color:#666"">rice</span><br><span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span>",SC::L1
炳,glorious,bing3,fire + third / third class,⿰ (left-right),⿰火丙,"<span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span><br><span style=""color:#1a5276"">丙</span> <span style=""color:#666"">third / third class</span>",SC::L1
炻,stoneware,shi2,fire + stone,⿰ (left-right),⿰火石,"<span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span><br><span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span>",SC::L1
炽,to burn,chi4,fire + only,⿰ (left-right),⿰火只,"<span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span><br><span style=""color:#1a5276"">只</span> <span style=""color:#666"">only</span>",SC::L1
烀,to cook in a small quantity of water,hu1,fire + ooh!,⿰ (left-right),⿰火乎,"<span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span><br><span style=""color:#1a5276"">乎</span> <span style=""color:#666"">ooh!</span>",SC::L1
炷,wick of an oil lamp,zhu4,fire + lord,⿰ (left-right),⿰火主,"<span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span><br><span style=""color:#1a5276"">主</span> <span style=""color:#666"">lord</span>",SC::L1
烃,hydrocarbon,ting1,fire + spool,⿰ (left-right),⿰火𢀖,"<span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span><br><span style=""color:#1a5276"">𢀖</span> <span style=""color:#666"">spool</span>",SC::L1
洱,a lake in Yunnan,er3,ear,⿰ (left-right),⿰氵耳,"<span style=""color:#1a5276"">耳</span> <span style=""color:#666"">ear</span>",SC::L1
洹,river in Henan province,huan2,span,⿰ (left-right),⿰氵亘,"<span style=""color:#1a5276"">亘</span> <span style=""color:#666"">span</span>",SC::L1
洧,name of a river in Honan,wei3,possess,⿰ (left-right),⿰氵有,"<span style=""color:#1a5276"">有</span> <span style=""color:#666"">possess</span>",SC::L1
洌,to cleanse,lie4,line up / file,⿰ (left-right),⿰氵列,"<span style=""color:#1a5276"">列</span> <span style=""color:#666"">line up / file</span>",SC::L1
浃,soaked,jia1,press from both sides,⿰ (left-right),⿰氵夹,"<span style=""color:#1a5276"">夹</span> <span style=""color:#666"">press from both sides</span>",SC::L1
洇,to soak,yan1,cause,⿰ (left-right),⿰氵因,"<span style=""color:#1a5276"">因</span> <span style=""color:#666"">cause</span>",SC::L1
洄,eddying,hui2,return / -times,⿰ (left-right),⿰氵回,"<span style=""color:#1a5276"">回</span> <span style=""color:#666"">return / -times</span>",SC::L1
洙,name of a river in Shandong,Zhu1,vermillion / vermilion,⿰ (left-right),⿰氵朱,"<span style=""color:#1a5276"">朱</span> <span style=""color:#666"">vermillion / vermilion</span>",SC::L1
涎,saliva (2),xian2,prolong,⿰ (left-right),⿰氵延,"<span style=""color:#1a5276"">延</span> <span style=""color:#666"">prolong</span>",SC::L1
洎,to reach,ji4,oneself,⿰ (left-right),⿰氵自,"<span style=""color:#1a5276"">自</span> <span style=""color:#666"">oneself</span>",SC::L1
洫,to ditch,xu4,blood,⿰ (left-right),⿰氵血,"<span style=""color:#1a5276"">血</span> <span style=""color:#666"">blood</span>",SC::L1
浍,drain,kuai4,meeting,⿰ (left-right),⿰氵会,"<span style=""color:#1a5276"">会</span> <span style=""color:#666"">meeting</span>",SC::L1
洮,cleanse,tao2,portent,⿰ (left-right),⿰氵兆,"<span style=""color:#1a5276"">兆</span> <span style=""color:#666"">portent</span>",SC::L1
浒,bank of a river,hu3,permit,⿰ (left-right),⿰氵许,"<span style=""color:#1a5276"">许</span> <span style=""color:#666"">permit</span>",SC::L1
浔,steep bank,xun2,seek,⿰ (left-right),⿰氵寻,"<span style=""color:#1a5276"">寻</span> <span style=""color:#666"">seek</span>",SC::L1
浕,river in Hubei province,Jin4,exhausted,⿰ (left-right),⿰氵尽,"<span style=""color:#1a5276"">尽</span> <span style=""color:#666"">exhausted</span>",SC::L1
洳,damp,ru4,be like / likeness,⿰ (left-right),⿰氵如,"<span style=""color:#1a5276"">如</span> <span style=""color:#666"">be like / likeness</span>",SC::L1
恸,grief,tong4,move,⿰ (left-right),⿰忄动,"<span style=""color:#1a5276"">动</span> <span style=""color:#666"">move</span>",SC::L1
恓,troubled,xi1,west,⿰ (left-right),⿰忄西,"<span style=""color:#1a5276"">西</span> <span style=""color:#666"">west</span>",SC::L1
恹,used in 懨懨|恹恹[yan1 yan1],yan1,detest,⿰ (left-right),⿰忄厌,"<span style=""color:#1a5276"">厌</span> <span style=""color:#666"">detest</span>",SC::L1
恫,frighten,dong4,same,⿰ (left-right),⿰忄同,"<span style=""color:#1a5276"">同</span> <span style=""color:#666"">same</span>",SC::L1
恺,joyful,kai3,(rhetorical question),⿰ (left-right),⿰忄岂,"<span style=""color:#1a5276"">岂</span> <span style=""color:#666"">(rhetorical question)</span>",SC::L1
恻,sorrowful,ce4,rule,⿰ (left-right),⿰忄则,"<span style=""color:#1a5276"">则</span> <span style=""color:#666"">rule</span>",SC::L1
恂,honest,xun2,decameron,⿰ (left-right),⿰忄旬,"<span style=""color:#1a5276"">旬</span> <span style=""color:#666"">decameron</span>",SC::L1
恪,scrupulous,Ke4,each,⿰ (left-right),⿰忄各,"<span style=""color:#1a5276"">各</span> <span style=""color:#666"">each</span>",SC::L1
恽,surname Yun,Yun4,army,⿰ (left-right),⿰忄军,"<span style=""color:#1a5276"">军</span> <span style=""color:#666"">army</span>",SC::L1
扃,to shut or bolt a door,jiong1,door,⿸ (top-left-wrap),⿸户冋,"<span style=""color:#1a5276"">户</span> <span style=""color:#666"">door</span>",SC::L1
衲,cassock,na4,internal / inside,⿰ (left-right),⿰衤内,"<span style=""color:#1a5276"">内</span> <span style=""color:#666"">internal / inside</span>",SC::L1
衽,overlapping part of Chinese gown,ren4,porter,⿰ (left-right),⿰衤壬,"<span style=""color:#1a5276"">壬</span> <span style=""color:#666"">porter</span>",SC::L1
袂,sleeve of a robe,mei4,guillotine,⿰ (left-right),⿰衤夬,"<span style=""color:#1a5276"">夬</span> <span style=""color:#666"">guillotine</span>",SC::L1
祛,sacrifice to drive away calamity,qu1,go / gone,⿰ (left-right),⿰礻去,"<span style=""color:#1a5276"">去</span> <span style=""color:#666"">go / gone</span>",SC::L1
祜,celestial blessing,hu4,ancient / old,⿰ (left-right),⿰礻古,"<span style=""color:#1a5276"">古</span> <span style=""color:#666"">ancient / old</span>",SC::L1
祚,blessing,zuo4,for the first time,⿰ (left-right),⿰礻乍,"<span style=""color:#1a5276"">乍</span> <span style=""color:#666"">for the first time</span>",SC::L1
诮,ridicule,qiao4,resemble / resemblance,⿰ (left-right),⿰讠肖,"<span style=""color:#1a5276"">肖</span> <span style=""color:#666"">resemble / resemblance</span>",SC::L1
祗,respectful (ly),zhi1,calling card,⿰ (left-right),⿰礻氐,"<span style=""color:#1a5276"">氐</span> <span style=""color:#666"">calling card</span>",SC::L1
诰,to grant (a title),gao4,declare / revelation,⿰ (left-right),⿰讠告,"<span style=""color:#1a5276"">告</span> <span style=""color:#666"">declare / revelation</span>",SC::L1
诳,to dupe,kuang2,crazy / lunatic,⿰ (left-right),⿰讠狂,"<span style=""color:#1a5276"">狂</span> <span style=""color:#666"">crazy / lunatic</span>",SC::L1
鸩,legendary bird whose feathers can be used as poison,zhen4,Frankenbowser Rex + bird,⿰ (left-right),⿰冘鸟,"<span style=""color:#1a5276"">冘</span> <span style=""color:#666"">Frankenbowser Rex</span><br><span style=""color:#1a5276"">鸟</span> <span style=""color:#666"">bird</span>",SC::L1
昶,old variant of 暢|畅[chang4],chang3,eternity + day,⿺ (bottom-left-wrap),⿺永日,"<span style=""color:#1a5276"">永</span> <span style=""color:#666"">eternity</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span>",SC::L1
咫,8 in. length unit of Zhou dynasty,zhi3,ruler / shaku + only,⿺ (bottom-left-wrap),⿺尺只,"<span style=""color:#1a5276"">尺</span> <span style=""color:#666"">ruler / shaku</span><br><span style=""color:#1a5276"">只</span> <span style=""color:#666"">only</span>",SC::L1
弭,to stop,mi3,bow + ear,⿰ (left-right),⿰弓耳,"<span style=""color:#1a5276"">弓</span> <span style=""color:#666"">bow</span><br><span style=""color:#1a5276"">耳</span> <span style=""color:#666"">ear</span>",SC::L1
牁,Taiwan pr. [ge1],ke1,bunk beds + can,⿰ (left-right),⿰爿可,"<span style=""color:#1a5276"">爿</span> <span style=""color:#666"">bunk beds</span><br><span style=""color:#1a5276"">可</span> <span style=""color:#666"">can</span>",SC::L1
胥,assist,Xu1,critters,⿱ (top-bottom),⿱疋⺝,"<span style=""color:#1a5276"">疋</span> <span style=""color:#666"">critters</span>",SC::L1
陟,to advance,zhi4,pinnacle + footstep,⿰ (left-right),⿰阝步,"<span style=""color:#1a5276"">阝</span> <span style=""color:#666"">pinnacle</span><br><span style=""color:#1a5276"">步</span> <span style=""color:#666"">footstep</span>",SC::L1
娅,term of address between husbands of sisters,ya4,woman + Asia,⿰ (left-right),⿰女亚,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span><br><span style=""color:#1a5276"">亚</span> <span style=""color:#666"">Asia</span>",SC::L1
姮,feminine name (old),heng2,woman + span,⿰ (left-right),⿰女亘,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span><br><span style=""color:#1a5276"">亘</span> <span style=""color:#666"">span</span>",SC::L1
娆,charming,rao2,woman + Yao,⿰ (left-right),⿰女尧,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span><br><span style=""color:#1a5276"">尧</span> <span style=""color:#666"">Yao</span>",SC::L1
姝,pretty woman,shu1,woman + vermillion / vermilion,⿰ (left-right),⿰女朱,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span><br><span style=""color:#1a5276"">朱</span> <span style=""color:#666"">vermillion / vermilion</span>",SC::L1
姣,surname Jiao,Jiao1,woman + mingle,⿰ (left-right),⿰女交,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span><br><span style=""color:#1a5276"">交</span> <span style=""color:#666"">mingle</span>",SC::L1
姘,to be a mistress or lover,pin1,woman + combine,⿰ (left-right),⿰女并,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span><br><span style=""color:#1a5276"">并</span> <span style=""color:#666"">combine</span>",SC::L1
姹,colorful,cha4,woman + dwelling / home,⿰ (left-right),⿰女宅,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span><br><span style=""color:#1a5276"">宅</span> <span style=""color:#666"">dwelling / home</span>",SC::L1
怼,to attack verbally,dui3,that's right + heart,⿱ (top-bottom),⿱对心,"<span style=""color:#1a5276"">对</span> <span style=""color:#666"">that's right</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span>",SC::L1
羿,name of a legendary archer (also called 后羿[Hou4 Yi4]),Yi4,feathers + hands joined,⿱ (top-bottom),⿱羽廾,"<span style=""color:#1a5276"">羽</span> <span style=""color:#666"">feathers</span><br><span style=""color:#1a5276"">廾</span> <span style=""color:#666"">hands joined</span>",SC::L1
炱,soot,tai2,platform / pedestal + fire,⿱ (top-bottom),⿱台火,"<span style=""color:#1a5276"">台</span> <span style=""color:#666"">platform / pedestal</span><br><span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span>",SC::L1
矜,to boast,jin1,spear / halberd + now,⿰ (left-right),⿰矛今,"<span style=""color:#1a5276"">矛</span> <span style=""color:#666"">spear / halberd</span><br><span style=""color:#1a5276"">今</span> <span style=""color:#666"">now</span>",SC::L1
绔,trousers (2),ku4,thread + brag,⿰ (left-right),⿰纟夸,"<span style=""color:#1a5276"">纟</span> <span style=""color:#666"">thread</span><br><span style=""color:#1a5276"">夸</span> <span style=""color:#666"">brag</span>",SC::L1
骁,good horse,xiao1,horse + Yao,⿰ (left-right),⿰马尧,"<span style=""color:#1a5276"">马</span> <span style=""color:#666"">horse</span><br><span style=""color:#1a5276"">尧</span> <span style=""color:#666"">Yao</span>",SC::L1
骅,chestnut horse,hua2,horse + splendor,⿰ (left-right),⿰马华,"<span style=""color:#1a5276"">马</span> <span style=""color:#666"">horse</span><br><span style=""color:#1a5276"">华</span> <span style=""color:#666"">splendor</span>",SC::L1
绗,to quilt,hang2,thread + line of business / going,⿰ (left-right),⿰纟行,"<span style=""color:#1a5276"">纟</span> <span style=""color:#666"">thread</span><br><span style=""color:#1a5276"">行</span> <span style=""color:#666"">line of business / going</span>",SC::L1
绛,capital of the Jin State during the Spring and Autumn Period (770-475 BC),Jiang4,thread,⿰ (left-right),⿰纟夅,"<span style=""color:#1a5276"">纟</span> <span style=""color:#666"">thread</span>",SC::L1
骈,surname Pian,Pian2,horse + combine,⿰ (left-right),⿰马并,"<span style=""color:#1a5276"">马</span> <span style=""color:#666"">horse</span><br><span style=""color:#1a5276"">并</span> <span style=""color:#666"">combine</span>",SC::L1
耖,harrow-like implement for pulverizing clods of soil,chao4,Christmas tree + few,⿰ (left-right),⿰耒少,"<span style=""color:#1a5276"">耒</span> <span style=""color:#666"">Christmas tree</span><br><span style=""color:#1a5276"">少</span> <span style=""color:#666"">few</span>",SC::L1
挈,to take along (e.g. one's family),qie4,hand,⿱ (top-bottom),⿱㓞手,"<span style=""color:#1a5276"">手</span> <span style=""color:#666"">hand</span>",SC::L1
珥,pearl or jade earring,er3,ear,⿰ (left-right),⿰𤣩耳,"<span style=""color:#1a5276"">耳</span> <span style=""color:#666"">ear</span>",SC::L1
珙,county in Sichuan,gong3,together,⿰ (left-right),⿰𤣩共,"<span style=""color:#1a5276"">共</span> <span style=""color:#666"">together</span>",SC::L1
顼,Taiwan pr. [Xu4],Xu1,page,⿰ (left-right),⿰𤣩页,"<span style=""color:#1a5276"">页</span> <span style=""color:#666"">page</span>",SC::L1
珰,pendant ornament,dang1,work as / hit,⿰ (left-right),⿰𤣩当,"<span style=""color:#1a5276"">当</span> <span style=""color:#666"">work as / hit</span>",SC::L1
珩,top gem of pendant from girdle,heng2,line of business / going,⿰ (left-right),⿰𤣩行,"<span style=""color:#1a5276"">行</span> <span style=""color:#666"">line of business / going</span>",SC::L1
珧,mother-of-pearl,yao2,portent,⿰ (left-right),⿰𤣩兆,"<span style=""color:#1a5276"">兆</span> <span style=""color:#666"">portent</span>",SC::L1
珣,name of a kind of jade,xun2,decameron,⿰ (left-right),⿰𤣩旬,"<span style=""color:#1a5276"">旬</span> <span style=""color:#666"">decameron</span>",SC::L1
珞,neck-ornament,luo4,each,⿰ (left-right),⿰𤣩各,"<span style=""color:#1a5276"">各</span> <span style=""color:#666"">each</span>",SC::L1
琤,tinkling of gems,cheng1,contend,⿰ (left-right),⿰𤣩争,"<span style=""color:#1a5276"">争</span> <span style=""color:#666"">contend</span>",SC::L1
珲,bright (2),hun2,army,⿰ (left-right),⿰𤣩军,"<span style=""color:#1a5276"">军</span> <span style=""color:#666"">army</span>",SC::L1
敖,surname Ao,Ao2,taskmaster,⿰ (left-right),⿰𫠤攵,"<span style=""color:#1a5276"">攵</span> <span style=""color:#666"">taskmaster</span>",SC::L1
恚,rage,hui4,squared jewel + heart,⿱ (top-bottom),⿱圭心,"<span style=""color:#1a5276"">圭</span> <span style=""color:#666"">squared jewel</span><br><span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span>",SC::L1
埔,arena,bu4,soil + Fu / offspring,⿰ (left-right),⿰土甫,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span><br><span style=""color:#1a5276"">甫</span> <span style=""color:#666"">Fu / offspring</span>",SC::L1
埕,a large,cheng2,soil + submit / display,⿰ (left-right),⿰土呈,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span><br><span style=""color:#1a5276"">呈</span> <span style=""color:#666"">submit / display</span>",SC::L1
埘,hen roost,shi2,soil + time,⿰ (left-right),⿰土时,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span><br><span style=""color:#1a5276"">时</span> <span style=""color:#666"">time</span>",SC::L1
埙,ocarina,xun1,soil + employee,⿰ (left-right),⿰土员,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span><br><span style=""color:#1a5276"">员</span> <span style=""color:#666"">employee</span>",SC::L1
埚,crucible (2),guo1,soil + esophagus,⿰ (left-right),⿰土呙,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span><br><span style=""color:#1a5276"">呙</span> <span style=""color:#666"">esophagus</span>",SC::L1
挹,to scoop up,yi4,fingers + city walls,⿰ (left-right),⿰扌邑,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">邑</span> <span style=""color:#666"">city walls</span>",SC::L1
耆,man of sixty or seventy,qi2,old man + day,⿱ (top-bottom),⿱老日,"<span style=""color:#1a5276"">老</span> <span style=""color:#666"">old man</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span>",SC::L1
耄,extremely aged (in one's 80s or 90s),mao4,old man + fur,⿱ (top-bottom),⿱老毛,"<span style=""color:#1a5276"">老</span> <span style=""color:#666"">old man</span><br><span style=""color:#1a5276"">毛</span> <span style=""color:#666"">fur</span>",SC::L1
埒,enclosure,lie4,soil,⿰ (left-right),⿰土寽,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span>",SC::L1
捋,to smooth or arrange sth using one's fingers,lu:3,fingers,⿰ (left-right),⿰扌寽,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span>",SC::L1
贽,gifts to superiors,zhi4,clench + shellfish,⿱ (top-bottom),⿱执贝,"<span style=""color:#1a5276"">执</span> <span style=""color:#666"">clench</span><br><span style=""color:#1a5276"">贝</span> <span style=""color:#666"">shellfish</span>",SC::L1
垸,a dyke,,soil + finish / perfect,⿰ (left-right),⿰土完,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span><br><span style=""color:#1a5276"">完</span> <span style=""color:#666"">finish / perfect</span>",SC::L1
捃,to sort,jun4,fingers + monarch / old boy,⿰ (left-right),⿰扌君,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">君</span> <span style=""color:#666"">monarch / old boy</span>",SC::L1
盍,why not,he2,go / gone + dish,⿱ (top-bottom),⿱去皿,"<span style=""color:#1a5276"">去</span> <span style=""color:#666"">go / gone</span><br><span style=""color:#1a5276"">皿</span> <span style=""color:#666"">dish</span>",SC::L1
荸,water chestnut,bi2,flower + Sunday school,⿱ (top-bottom),⿱艹孛,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">孛</span> <span style=""color:#666"">Sunday school</span>",SC::L1
莆,a kind of legendary tree,pu2,flower + Fu / offspring,⿱ (top-bottom),⿱艹甫,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">甫</span> <span style=""color:#666"">Fu / offspring</span>",SC::L1
莳,used in 蒔蘿|莳萝[shi2 luo2],shi2,flower + time,⿱ (top-bottom),⿱艹时,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">时</span> <span style=""color:#666"">time</span>",SC::L1
莴,used in 萵筍|莴笋[wo1 sun3],wo1,flower + esophagus,⿱ (top-bottom),⿱艹呙,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">呙</span> <span style=""color:#666"">esophagus</span>",SC::L1
莪,"zedoary (Curcuma zedoaria), plant rhizome similar to turmeric",e2,flower + I / ego,⿱ (top-bottom),⿱艹我,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">我</span> <span style=""color:#666"">I / ego</span>",SC::L1
莠,Setaria viridis,you3,flower + elegant / excel,⿱ (top-bottom),⿱艹秀,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">秀</span> <span style=""color:#666"">elegant / excel</span>",SC::L1
莓,berry,mei2,flower + every,⿱ (top-bottom),⿱艹每,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">每</span> <span style=""color:#666"">every</span>",SC::L1
莜,Avena nuda,you2,flower + distant,⿱ (top-bottom),⿱艹攸,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">攸</span> <span style=""color:#666"">distant</span>",SC::L1
莅,river in Hebei,Li4,flower + position / rank,⿱ (top-bottom),⿱艹位,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">位</span> <span style=""color:#666"">position / rank</span>",SC::L1
荼,thistle,tu2,flower + moi / excess / too much,⿱ (top-bottom),⿱艹余,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">余</span> <span style=""color:#666"">moi / excess / too much</span>",SC::L1
莩,membrane lining inside a cylindrical stem,fu2,flower + fledglings,⿱ (top-bottom),⿱艹孚,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">孚</span> <span style=""color:#666"">fledglings</span>",SC::L1
荽,coriander,sui1,flower + appropriate / gentle,⿱ (top-bottom),⿱艹妥,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">妥</span> <span style=""color:#666"">appropriate / gentle</span>",SC::L1
莸,Caryopteris divaricata,you2,flower + just like,⿱ (top-bottom),⿱艹犹,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">犹</span> <span style=""color:#666"">just like</span>",SC::L1
莘,surname Shen,Shen1,flower + peppery / spicy,⿱ (top-bottom),⿱艹辛,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">辛</span> <span style=""color:#666"">peppery / spicy</span>",SC::L1
莎,katydid (family Tettigoniidae),sha1,flower + sand / grains of sand,⿱ (top-bottom),⿱艹沙,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">沙</span> <span style=""color:#666"">sand / grains of sand</span>",SC::L1
鸪,partridge,gu1,ancient / old + bird,⿰ (left-right),⿰古鸟,"<span style=""color:#1a5276"">古</span> <span style=""color:#666"">ancient / old</span><br><span style=""color:#1a5276"">鸟</span> <span style=""color:#666"">bird</span>",SC::L1
莼,used in 蓴菜|莼菜[chun2 cai4],chun2,flower + unadulterated,⿱ (top-bottom),⿱艹纯,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">纯</span> <span style=""color:#666"">unadulterated</span>",SC::L1
栲,"chinquapin (Castanopsis fargesii and other spp.), genus of evergreen trees",kao3,tree + take an exam / consider,⿰ (left-right),⿰木考,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">考</span> <span style=""color:#666"">take an exam / consider</span>",SC::L1
栳,a basket,lao3,tree + old man,⿰ (left-right),⿰木老,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">老</span> <span style=""color:#666"">old man</span>",SC::L1
郴,name of a district in Hunan,chen1,woods / grove + pinnacle,⿰ (left-right),⿰林阝,"<span style=""color:#1a5276"">林</span> <span style=""color:#666"">woods / grove</span><br><span style=""color:#1a5276"">阝</span> <span style=""color:#666"">pinnacle</span>",SC::L1
桓,Chinese soapberry (Sapindus mukurossi),Huan2,tree + span,⿰ (left-right),⿰木亘,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">亘</span> <span style=""color:#666"">span</span>",SC::L1
桡,to disturb,nao2,tree + Yao,⿰ (left-right),⿰木尧,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">尧</span> <span style=""color:#666"">Yao</span>",SC::L1
桎,fetters,zhi4,tree + until / climax,⿰ (left-right),⿰木至,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">至</span> <span style=""color:#666"">until / climax</span>",SC::L1
桢,privet (genus Ligustrum),zhen1,tree + chaste,⿰ (left-right),⿰木贞,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">贞</span> <span style=""color:#666"">chaste</span>",SC::L1
桤,alder,qi1,tree + (rhetorical question),⿰ (left-right),⿰木岂,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">岂</span> <span style=""color:#666"">(rhetorical question)</span>",SC::L1
梃,a club (weapon),ting3,tree + royal court / courts,⿰ (left-right),⿰木廷,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">廷</span> <span style=""color:#666"">royal court / courts</span>",SC::L1
栝,Juniperus chinensis,gua1,tree + tongue,⿰ (left-right),⿰木舌,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">舌</span> <span style=""color:#666"">tongue</span>",SC::L1
桕,Tallow tree,jiu4,tree + mortar,⿰ (left-right),⿰木臼,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">臼</span> <span style=""color:#666"">mortar</span>",SC::L1
桅,mast,wei2,tree + danger / dangerous,⿰ (left-right),⿰木危,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">危</span> <span style=""color:#666"">danger / dangerous</span>",SC::L1
栟,Trachycarpus excelsa,bing1,tree + combine,⿰ (left-right),⿰木并,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">并</span> <span style=""color:#666"">combine</span>",SC::L1
桉,Eucalyptus globulus,an1,tree + peaceful / relax,⿰ (left-right),⿰木安,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span><br><span style=""color:#1a5276"">安</span> <span style=""color:#666"">peaceful / relax</span>",SC::L1
